Datum;Erster;Hoch;Tief;Schlusskurs
23.05.2019;70,51;70,53;67,01;67,93
22.05.2019;71,66;72,06;70,39;70,73
21.05.2019;72,13;72,49;71,61;72,21
20.05.2019;73,19;73,25;71,58;72,07
17.05.2019;72,62;73,23;71,8;72,08
16.05.2019;72,09;73,33;71,83;72,69
15.05.2019;70,95;72,22;70,45;71,97
14.05.2019;70,44;71,63;69,92;71,17
13.05.2019;71,19;72,58;69,72;69,87
10.05.2019;70,87;71,09;70,27;70,63
09.05.2019;69,62;70,63;69,52;70,23
08.05.2019;70,38;70,69;69,31;70,14
07.05.2019;70,93;71,02;69,38;69,55
06.05.2019;69,54;71,8;69,54;71,59
03.05.2019;70,53;71,53;69,94;70,77
02.05.2019;71,7;71,83;69,78;70,45
30.04.2019;72,22;73,26;71,98;72,78
29.04.2019;71,86;72,51;71,08;72,02
26.04.2019;74,1;74,4;71,28;71,67
25.04.2019;75,01;75,59;74;74,21
24.04.2019;74,09;74,75;74,01;74,55
23.04.2019;74,42;74,71;73,97;74,46
18.04.2019;71,5;72,04;71,18;71,94
17.04.2019;71,95;72,28;71,46;71,57
16.04.2019;70,91;71,8;70,73;71,73
15.04.2019;70,96;71,41;70,77;71,24
12.04.2019;71,04;71,87;70,9;71,51
11.04.2019;71,44;71,53;70,58;70,96
10.04.2019;70,81;71,77;70,68;71,62
09.04.2019;70,96;71,35;70,31;70,66
08.04.2019;70,62;71,19;70,41;71,06
05.04.2019;69,21;70,47;68,89;70,42
04.04.2019;69,11;70,04;68,87;69,22
03.04.2019;69,79;69,97;68,78;69,41
02.04.2019;69,08;69,55;68,7;69,45
01.04.2019;68,26;69,19;68,18;69,09
29.03.2019;68,02;68,88;67,9;68,38
28.03.2019;67,55;68,01;66,53;67,98
27.03.2019;68,12;68,35;67,17;67,81
26.03.2019;67,57;68,2;67,45;67,97
25.03.2019;66,87;67,63;66,55;67,26
22.03.2019;67,7;67,7;66,26;66,4
21.03.2019;68,24;68,69;67,56;67,66
20.03.2019;67,69;68,52;67,19;68,27
19.03.2019;67,77;68,19;67,19;67,68
18.03.2019;67,31;67,7;66,82;67,46
15.03.2019;67,53;67,74;66,12;67,02
14.03.2019;68;68,12;67,05;67,17
13.03.2019;66,9;67,74;66,85;67,69
12.03.2019;67,22;67,35;66,38;66,82
11.03.2019;66,48;66,76;66,07;66,58
08.03.2019;65,55;65,84;64,04;65,81
07.03.2019;66,12;66,98;65,77;66,12
06.03.2019;65,52;66,18;65,3;65,91
05.03.2019;65,4;66,16;65,05;65,67
04.03.2019;65,39;66,32;65,06;65,63
01.03.2019;66,82;66,87;64,59;64,92
28.02.2019;65,99;66,18;65,67;66,03
27.02.2019;65,49;66,71;65,28;66,33
26.02.2019;64,78;65,58;64,74;65,32
25.02.2019;66,84;67,35;64,52;64,62
22.02.2019;67,2;67,72;66,92;66,97
21.02.2019;67,12;67,29;66,73;66,93
20.02.2019;66,44;67,37;65,63;66,99
19.02.2019;66,51;66,64;65,56;66,52
18.02.2019;66,61;66,79;65,91;66,52
15.02.2019;64,87;66,42;64,42;66,3
14.02.2019;64,24;64,81;63,36;64,63
13.02.2019;62,97;63,97;62,81;63,66
12.02.2019;61,89;63,31;61,76;62,44
11.02.2019;61,71;62,32;60,91;61,45
08.02.2019;61,35;62,35;61,28;62,08
07.02.2019;62,23;62,91;60,66;61,69
06.02.2019;61,73;62,79;61,08;62,6
05.02.2019;62,45;63,04;61,7;62,23
04.02.2019;63,05;63,63;61,36;62,71
01.02.2019;60,66;62,96;60,58;62,85
31.01.2019;62,09;62,11;61,78;61,91
30.01.2019;61,16;62,67;61,05;62,53
29.01.2019;59,94;61,72;59,75;61,17
28.01.2019;60,49;60,8;59,49;60,03
25.01.2019;61,57;61,85;60,72;61,51
24.01.2019;60,77;61,47;60,39;61,11
23.01.2019;61,65;62,3;60,31;60,91
22.01.2019;62,25;62,36;60,58;61,49
21.01.2019;62,63;63,16;62,28;62,83
18.01.2019;61,85;62,98;61,37;62,67
17.01.2019;60,93;61,54;60,02;61,17
16.01.2019;60,8;61,45;59,99;61,36
15.01.2019;59,62;60,82;59,15;60,61
14.01.2019;59,89;60,51;58,9;59,11
11.01.2019;62,06;62,46;60,06;60,48
10.01.2019;60,56;61,88;60,4;61,54
09.01.2019;59,41;61,63;59,06;61,37
08.01.2019;57,43;58,87;57,37;58,67
07.01.2019;58,13;58,94;57,24;57,59
04.01.2019;56,58;58,32;56,57;57,34
03.01.2019;54,2;56,27;54,14;55,9
02.01.2019;53,25;56,52;52,5;55,06
31.12.2018;54,44;54,82;53,74;54,63
28.12.2018;53,24;53,52;51,66;52,21
27.12.2018;53,79;53,92;51,96;53,12
21.12.2018;54,85;55,04;52,78;53,5
20.12.2018;55,68;56,29;54,58;54,97
19.12.2018;56,62;58,09;56,04;56,69
18.12.2018;58,49;59,05;55,87;56,14
17.12.2018;60,34;61,2;58,66;58,81
14.12.2018;61,03;61,52;59,94;60,16
13.12.2018;60,2;62;59,39;61,68
12.12.2018;60,67;61,46;59,98;60,14
11.12.2018;59,96;61,09;59,55;60,26
10.12.2018;61,47;61,56;59,58;59,81
07.12.2018;60,23;63,63;59,13;61,56
06.12.2018;61,24;61,24;58,43;60,22
05.12.2018;61;63,3;60,89;61,66
04.12.2018;62,44;63,6;61,56;61,6
03.12.2018;61,86;62,33;60,63;61,94
30.11.2018;59,7;59,81;58,22;58,64
29.11.2018;58,45;60,38;57,51;59,46
28.11.2018;60,6311;60,7591;58,55;58,86
27.11.2018;60,0787;61,4042;58,891;60,5837
